C:\Users\Administrator\Desktop\bin>AntiHook.exe DumpHalPrivateDispatchTable
MemberName:Version                                             ULong:54
MemberName:HalHandlerForBus                                    FunctionAddress:FFFFF8031C874730 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:SC_DEVICE::GetStoragePropertyPost
MemberName:HalHandlerForConfigSpace                            FunctionAddress:FFFFF8031C874730 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:SC_DEVICE::GetStoragePropertyPost
MemberName:HalLocateHiberRanges                                FunctionAddress:FFFFF8031D04DB40 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HaliLocateHiberRanges
MemberName:HalRegisterBusHandler                               FunctionAddress:FFFFF8031CDF04D0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:ArbAddReserved
MemberName:HalSetWakeEnable                                    FunctionAddress:0000000000000000
MemberName:HalSetWakeAlarm                                     FunctionAddress:FFFFF8031D051330 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HaliSetWakeAlarm
MemberName:HalPciTranslateBusAddress                           FunctionAddress:FFFFF803202790A0 FullPathName:\SystemRoot\System32\drivers\pci.sys SymbolName:PciTranslateBusAddress
MemberName:HalPciAssignSlotResources                           FunctionAddress:FFFFF803202E2F30 FullPathName:\SystemRoot\System32\drivers\pci.sys SymbolName:PciAssignSlotResources
MemberName:HalHaltSystem                                       FunctionAddress:FFFFF8031CB093B0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HaliHaltSystem
MemberName:HalFindBusAddressTranslation                        FunctionAddress:FFFFF8031C9DD3C0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpFindBusAddressTranslation
MemberName:HalResetDisplay                                     FunctionAddress:FFFFF8031CB02070 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpBiosDisplayReset
MemberName:HalAllocateMapRegisters                             FunctionAddress:FFFFF8031CF08200 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpAllocateMapRegisters
MemberName:KdSetupPciDeviceForDebugging                        FunctionAddress:FFFFF8031D06FD60 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpKdSetupDebuggingDevice
MemberName:KdReleasePciDeviceForDebugging                      FunctionAddress:FFFFF8031D0718F0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpKdReleaseDebuggingDevice
MemberName:KdGetAcpiTablePhase0                                FunctionAddress:FFFFF8031C9B78D0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalAcpiGetTable
MemberName:KdCheckPowerButton                                  FunctionAddress:FFFFF8031CA15A70 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpCheckPowerButton
MemberName:HalVectorToIDTEntry                                 FunctionAddress:FFFFF8031C9721C0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:xHalVectorToIDTEntry
MemberName:KdMapPhysicalMemory64                               FunctionAddress:FFFFF8031C9BE0A0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpMapPhysicalMemoryWriteThrough64
MemberName:KdUnmapVirtualAddress                               FunctionAddress:FFFFF8031C9BE7B0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpUnmapVirtualAddress
MemberName:KdGetPciDataByOffset                                FunctionAddress:FFFFF8031C9AFD10 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpKdReadPCIConfig
MemberName:KdSetPciDataByOffset                                FunctionAddress:FFFFF8031CB2C4D0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpKdWritePCIConfig
MemberName:HalGetInterruptVectorOverride                       FunctionAddress:FFFFF803202362E0 FullPathName:\SystemRoot\System32\drivers\ACPI.sys SymbolName:IrqTransGetInterruptVector
MemberName:HalGetVectorInputOverride                           FunctionAddress:FFFFF803201ACA80 FullPathName:\SystemRoot\System32\drivers\ACPI.sys SymbolName:IrqLibpGetVectorInput
MemberName:HalLoadMicrocode                                    FunctionAddress:FFFFF8031CF09850 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpLoadMicrocode
MemberName:HalUnloadMicrocode                                  FunctionAddress:FFFFF8031CF09AA0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpUnloadMicrocode
MemberName:HalPostMicrocodeUpdate                              FunctionAddress:FFFFF8031C9B59E0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpMcUpdatePostUpdate
MemberName:HalAllocateMessageTargetOverride                    FunctionAddress:FFFFF80320235AF0 FullPathName:\SystemRoot\System32\drivers\ACPI.sys SymbolName:IrqLibAllocateMessageTarget
MemberName:HalFreeMessageTargetOverride                        FunctionAddress:FFFFF80320235DA0 FullPathName:\SystemRoot\System32\drivers\ACPI.sys SymbolName:IrqLibFreeMessageTarget
MemberName:HalDpReplaceBegin                                   FunctionAddress:FFFFF8031CF09D80 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpDpReplaceBegin
MemberName:HalDpReplaceTarget                                  FunctionAddress:FFFFF8031D0618F0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpDpReplaceTarget
MemberName:HalDpReplaceControl                                 FunctionAddress:FFFFF8031D061720 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpDpReplaceControl
MemberName:HalDpReplaceEnd                                     FunctionAddress:FFFFF8031CF09F30 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpDpReplaceEnd
MemberName:HalPrepareForBugcheck                               FunctionAddress:FFFFF8031CB0D3F0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpPrepareForBugcheck
MemberName:HalQueryWakeTime                                    FunctionAddress:FFFFF8031C998240 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpTimerQueryWakeTime
MemberName:HalReportIdleStateUsage                             FunctionAddress:FFFFF8031C9DB880 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpTimerReportIdleStateUsage
MemberName:HalTscSynchronization                               FunctionAddress:FFFFF8031C9DC190 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpTscSynchronization
MemberName:HalWheaInitProcessorGenericSection                  FunctionAddress:FFFFF8031CB23960 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpWheaInitProcessorGenericSection
MemberName:HalStopLegacyUsbInterrupts                          FunctionAddress:FFFFF8031D052000 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpStopLegacyUsbInterrupts
MemberName:HalReadWheaPhysicalMemory                           FunctionAddress:FFFFF8031CB23740 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpReadWheaPhysicalMemory
MemberName:HalWriteWheaPhysicalMemory                          FunctionAddress:FFFFF8031CB239C0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpWriteWheaPhysicalMemory
MemberName:HalDpMaskLevelTriggeredInterrupts                   FunctionAddress:FFFFF8031CB22CC0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpInterruptMaskLevelTriggeredLines
MemberName:HalDpUnmaskLevelTriggeredInterrupts                 FunctionAddress:FFFFF8031CB22EC0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpInterruptUnmaskLevelTriggeredLines
MemberName:HalDpGetInterruptReplayState                        FunctionAddress:FFFFF8031D0611C0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpDpGetInterruptReplayState
MemberName:HalDpReplayInterrupts                               FunctionAddress:FFFFF8031D061990 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpDpReplayInterrupts
MemberName:HalQueryIoPortAccessSupported                       FunctionAddress:FFFFF8031C971E80 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalFlushCommonBuffer
MemberName:KdSetupIntegratedDeviceForDebugging                 FunctionAddress:FFFFF8031D06FD60 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpKdSetupDebuggingDevice
MemberName:KdReleaseIntegratedDeviceForDebugging               FunctionAddress:FFFFF8031D0718F0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpKdReleaseDebuggingDevice
MemberName:HalGetEnlightenmentInformation                      FunctionAddress:FFFFF8031CB456A0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HvlGetEnlightenmentInfo
MemberName:HalAllocateEarlyPages                               FunctionAddress:FFFFF8031CB07FC0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpAllocateEarlyPages
MemberName:HalMapEarlyPages                                    FunctionAddress:FFFFF8031CB080A0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpMapEarlyPages
MemberName:Dummy1                                              Void:0000000000000000
MemberName:Dummy2                                              Void:0000000000000000
MemberName:HalNotifyProcessorFreeze                            FunctionAddress:FFFFF8031C8CC2D0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpTimerNotifyProcessorFreeze
MemberName:HalPrepareProcessorForIdle                          FunctionAddress:FFFFF8031C8CBD80 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpProcessorPrepareForIdle
MemberName:HalRegisterLogRoutine                               FunctionAddress:FFFFF8031C9A6270 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:EmpCheckErrataList
MemberName:HalResumeProcessorFromIdle                          FunctionAddress:FFFFF8031C8CC0B0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpProcessorResumeFromIdle
MemberName:Dummy                                               Void:0000000000000000
MemberName:HalVectorToIDTEntryEx                               FunctionAddress:FFFFF8031C8B3800 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:PtrToUlong
MemberName:HalSecondaryInterruptQueryPrimaryInformation        FunctionAddress:FFFFF8031CF08EB0 FullPathName:\SystemRoot\system32\ntoskrnl.exe SymbolName:HalpSecondaryInterruptQueryPrimaryInformation
